drug_name,occurrences_in_pairs,distinct_ddinter_ids,ddinter_ids
Paclitaxel (protein-bound),365,1,DDInter1378
Liraglutide,362,1,DDInter1077
Tetracycline,361,1,DDInter1783
Albiglutide,361,1,DDInter36
Lixisenatide,361,1,DDInter1082
Treprostinil,361,1,DDInter1852
Irinotecan,360,1,DDInter973
Miglitol,359,1,DDInter1217
Vincristine (liposome),358,1,DDInter1938
Semaglutide,355,1,DDInter1660
Dulaglutide,354,1,DDInter607
Cyproheptadine,354,1,DDInter459
Alemtuzumab,353,1,DDInter41
Palbociclib,351,1,DDInter1379
Etoposide,350,1,DDInter702
Saquinavir,347,1,DDInter1640
Venetoclax,347,1,DDInter1926
Morphine (liposomal),344,1,DDInter1245
Interferon beta-1a,344,1,DDInter947
Interferon beta-1b,344,1,DDInter948
Arsenic trioxide,344,1,DDInter120
Flutamide,344,1,DDInter765
Carbinoxamine,344,1,DDInter297
Ritonavir,343,1,DDInter1607
Dexbrompheniramine,342,1,DDInter517
Lumacaftor,340,1,DDInter1101
Brompheniramine,339,1,DDInter245
Fluphenazine,338,1,DDInter760
Triprolidine,337,1,DDInter1879
Peginterferon beta-1a,336,1,DDInter1409
Dextromethorphan,336,1,DDInter527
Doxylamine,336,1,DDInter600
Lumefantrine,336,1,DDInter1103
Epoprostenol,335,1,DDInter657
Iloprost,335,1,DDInter908
Ocrelizumab,335,1,DDInter1321
Griseofulvin,335,1,DDInter843
Voriconazole,334,1,DDInter1946
Irinotecan (liposomal),334,1,DDInter974
Dexfenfluramine,333,1,DDInter518
Fosphenytoin,331,1,DDInter783
Lactulose,330,1,DDInter1018
Grepafloxacin,330,1,DDInter842
Triclabendazole,330,1,DDInter1863
Papaverine,329,1,DDInter1389
Pentoxifylline,326,1,DDInter1426
Dexamethasone (ophthalmic),325,1,DDInter515
Glycerin,323,1,DDInter832
Efavirenz,322,1,DDInter624
Lenvatinib,322,1,DDInter1036
Natalizumab,322,1,DDInter1268
Pemetrexed,321,1,DDInter1414
Betrixaban,320,1,DDInter200
Ixabepilone,319,1,DDInter1001
Amiodarone,318,1,DDInter76
Cabazitaxel,316,1,DDInter259
Mitotane,316,1,DDInter1233
Azathioprine,316,1,DDInter150
Strontium chloride Sr-89,315,1,DDInter1715
Dimethyl fumarate,313,1,DDInter564
Aminophylline,312,1,DDInter74
Carbamazepine,312,1,DDInter293
Diazoxide,311,1,DDInter535
Nefazodone,310,1,DDInter1274
Moxifloxacin,309,1,DDInter1247
Telithromycin,308,1,DDInter1758
Fluvoxamine,308,1,DDInter770
Phenobarbital,307,1,DDInter1442
Olopatadine (nasal),307,1,DDInter1333
Bisacodyl,306,1,DDInter212
Potassium chloride,306,1,DDInter1497
Edoxaban,306,1,DDInter621
Mineral oil,305,1,DDInter1223
Norfloxacin,305,1,DDInter1313
Salicylic acid (sodium),304,1,DDInter1633
Nilutamide,303,1,DDInter1294
Posaconazole,302,1,DDInter1494
Cobimetinib,302,1,DDInter425
Levothyroxine,301,1,DDInter1064
Ofloxacin,301,1,DDInter1325
Copanlisib,300,1,DDInter441
Clomipramine,300,1,DDInter410
Polyethylene glycol (3350),299,1,DDInter1488
Glycopyrronium (topical),299,1,DDInter835
Citalopram,298,1,DDInter388
Mifepristone,298,1,DDInter1215
Meclizine,298,1,DDInter1134
Topotecan,298,1,DDInter1835
Rosuvastatin,297,1,DDInter1622
Castor oil,297,1,DDInter307
Gemifloxacin,297,1,DDInter813
Thioridazine,297,1,DDInter1796
Ibritumomab tiuxetan,297,1,DDInter898
Chlorpromazine,296,1,DDInter363
Gatifloxacin,296,1,DDInter809
Clopidogrel,296,1,DDInter413
Tositumomab (I-131),296,1,DDInter1839
Pomalidomide,296,1,DDInter1491
Atazanavir,295,1,DDInter129
Mycophenolic acid,294,1,DDInter1252
Lactitol,293,1,DDInter1016
Nelfinavir,293,1,DDInter1276
Azatadine,293,1,DDInter149
Trastuzumab emtansine,292,1,DDInter1848
Escitalopram,291,1,DDInter672
Liothyronine,290,1,DDInter1074
Dapsone,288,1,DDInter475
Rolapitant,286,1,DDInter1615
Trifluoperazine,286,1,DDInter1866
Carboplatin,286,1,DDInter298
Sulfasalazine,286,1,DDInter1725
Regorafenib,286,1,DDInter1576
Venlafaxine,285,1,DDInter1927
Selpercatinib,285,1,DDInter1658
Tretinoin,285,1,DDInter1853
Amprenavir,284,1,DDInter90
Disopyramide,284,1,DDInter575
Samarium (153Sm) lexidronam,284,1,DDInter1638
Medroxyprogesterone acetate,282,1,DDInter1137
Fluoxetine,282,1,DDInter758
