snapshot_date,record_type,atc_code,atc_name,ddd,uom,adm_r,note,brand_name,dosage_form,ingredients,ddd_comb
2021-12-03,main,A02BD13,"rabeprazole, amoxicillin and metronidazole",,,,,,,,
2021-12-03,main,A02BD14,"vonoprazan, amoxicillin and clarithromycin",,,,,,,,
2021-12-03,main,A02BD15,"vonoprazan, amoxicillin and metronidazole",,,,,,,,
2021-12-03,main,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,,,,,,,
2021-12-03,main,A02BX01,carbenoxolone,0.15,g,O,,,,,
2021-12-03,main,A02BX02,sucralfate,4.0,g,O,,,,,
2021-12-03,main,A02BX03,pirenzepine,0.1,g,O,,,,,
2021-12-03,main,A02BX03,pirenzepine,20.0,mg,P,,,,,
2021-12-03,main,A02BX04,methiosulfonium chloride,,,,,,,,
2021-12-03,main,A02BX05,bismuth subcitrate,0.48,g,O,,,,,
2021-12-03,main,A02BX06,proglumide,1.2,g,O,,,,,
2021-12-03,main,A02BX07,gefarnate,,,,,,,,
2021-12-03,main,A02BX08,sulglicotide,,,,,,,,
2021-12-03,main,A02BX09,acetoxolone,,,,,,,,
2021-12-03,main,A02BX10,zolimidine,,,,,,,,
2021-12-03,main,A02BX11,troxipide,,,,,,,,
2021-12-03,main,A02BX12,bismuth subnitrate,,,,,,,,
2021-12-03,main,A02BX13,alginic acid,,,,,,,,
2021-12-03,main,A02BX14,rebamipide,0.3,g,O,,,,,
2021-12-03,main,A02BX51,"carbenoxolone, combinations excl. psycholeptics",,,,,,,,
2021-12-03,main,A02BX71,"carbenoxolone, combinations with psycholeptics",,,,,,,,
2021-12-03,main,A02BX77,"gefarnate, combinations with psycholeptics",,,,,,,,
2021-12-03,main,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,,,,,,,,
2021-12-03,main,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,,,,,,,
2021-12-03,main,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,,,,,,,
2021-12-03,main,A03AA,"Synthetic anticholinergics, esters with tertiary amino group",,,,,,,,
2021-12-03,main,A03AA01,oxyphencyclimine,20.0,mg,O,,,,,
2021-12-03,main,A03AA03,camylofin,0.2,g,O,,,,,
2021-12-03,main,A03AA03,camylofin,0.2,g,R,,,,,
2021-12-03,main,A03AA04,mebeverine,0.3,g,O,,,,,
2021-12-03,main,A03AA05,trimebutine,0.6,g,O,,,,,
2021-12-03,main,A03AA06,rociverine,,,,,,,,
2021-12-03,main,A03AA07,dicycloverine,80.0,mg,O,,,,,
2021-12-03,main,A03AA07,dicycloverine,80.0,mg,P,,,,,
2021-12-03,main,A03AA08,dihexyverine,,,,,,,,
2021-12-03,main,A03AA09,difemerine,,,,,,,,
2021-12-03,main,A03AA30,piperidolate,,,,,,,,
2021-12-03,main,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",,,,,,,,
2021-12-03,main,A03AB01,benzilone,70.0,mg,O,,,,,
2021-12-03,main,A03AB02,glycopyrronium bromide,3.0,mg,O,,,,,
2021-12-03,main,A03AB02,glycopyrronium bromide,0.3,mg,P,,,,,
2021-12-03,main,A03AB02,glycopyrronium bromide,3.0,mg,R,,,,,
2021-12-03,main,A03AB03,oxyphenonium,25.0,mg,O,,,,,
2021-12-03,main,A03AB04,penthienate,15.0,mg,O,,,,,
2021-12-03,main,A03AB05,propantheline,60.0,mg,O,,,,,
2021-12-03,main,A03AB05,propantheline,60.0,mg,P,,,,,
2021-12-03,main,A03AB06,otilonium bromide,,,,,,,,
2021-12-03,main,A03AB07,methantheline,0.15,g,O,,,,,
2021-12-03,main,A03AB08,tridihexethyl,0.125,g,O,,,,,
2021-12-03,main,A03AB09,isopropamide,10.0,mg,O,,,,,
2021-12-03,main,A03AB10,hexocyclium,0.15,g,O,,,,,
2021-12-03,main,A03AB11,poldine,12.0,mg,O,,,,,
2021-12-03,main,A03AB12,mepenzolate,0.1,g,O,,,,,
2021-12-03,main,A03AB13,bevonium,0.2,g,O,,,,,
2021-12-03,main,A03AB14,pipenzolate,20.0,mg,O,,,,,
2021-12-03,main,A03AB15,diphemanil,,,,,,,,
2021-12-03,main,A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,0.3,g,O,,,,,
2021-12-03,main,A03AB17,tiemonium iodide,,,,,,,,
2021-12-03,main,A03AB18,prifinium bromide,,,,,,,,
2021-12-03,main,A03AB19,timepidium bromide,,,,,,,,
2021-12-03,main,A03AB21,fenpiverinium,,,,,,,,
2021-12-03,main,A03AB53,"oxyphenonium, combinations",,,,,,,,
2021-12-03,main,A03AC,"Synthetic antispasmodics, amides with tertiary amines",,,,,,,,
2021-12-03,main,A03AC02,dimethylaminopropionylphenothiazine,,,,,,,,
2021-12-03,main,A03AC04,nicofetamide,,,,,,,,
2021-12-03,main,A03AC05,tiropramide,,,,,,,,
2021-12-03,main,A03AD,Papaverine and derivatives,,,,,,,,
2021-12-03,main,A03AD01,papaverine,0.1,g,O,,,,,
2021-12-03,main,A03AD01,papaverine,0.1,g,P,,,,,
2021-12-03,main,A03AD02,drotaverine,0.1,g,O,,,,,
2021-12-03,main,A03AD02,drotaverine,0.1,g,P,,,,,
2021-12-03,main,A03AD30,moxaverine,50.0,mg,O,,,,,
2021-12-03,main,A03AE,Serotonin receptor antagonists,,,,,,,,
2021-12-03,main,A03AE01,alosetron,1.0,mg,O,,,,,
2021-12-03,main,A03AE03,cilansetron,,,,,,,,
2021-12-03,main,A03AX,Other drugs for functional gastrointestinal disorders,,,,,,,,
2021-12-03,main,A03AX01,fenpiprane,,,,,,,,
2021-12-03,main,A03AX02,diisopromine,,,,,,,,
2021-12-03,main,A03AX03,chlorbenzoxamine,0.15,g,O,,,,,
2021-12-03,main,A03AX04,pinaverium,0.15,g,O,,,,,
2021-12-03,main,A03AX05,fenoverine,,,,,,,,
2021-12-03,main,A03AX06,idanpramine,,,,,,,,
2021-12-03,main,A03AX07,proxazole,,,,,,,,
2021-12-03,main,A03AX08,alverine,,,,,,,,
2021-12-03,main,A03AX09,trepibutone,,,,,,,,
2021-12-03,main,A03AX10,isometheptene,,,,,,,,
2021-12-03,main,A03AX11,caroverine,,,,,,,,
2021-12-03,main,A03AX12,phloroglucinol,,,,,,,,
2021-12-03,main,A03AX13,silicones,0.5,g,O,,,,,
2021-12-03,main,A03AX14,valethamate,,,,,,,,
2021-12-03,main,A03AX15,menthae piperitae aetheroleum,,,,,,,,
2021-12-03,main,A03AX30,trimethyldiphenylpropylamine,50.0,mg,O,,,,,
2021-12-03,main,A03AX30,trimethyldiphenylpropylamine,50.0,mg,P,,,,,
2021-12-03,main,A03AX58,"alverine, combinations",,,,,,,,
2021-12-03,main,A03B,"BELLADONNA AND DERIVATIVES, PLAIN",,,,,,,,
2021-12-03,main,A03BA,"Belladonna alkaloids, tertiary amines",,,,,,,,
