nhi_code,tfda_permit_no,input_text,ocr_text,confidence,status,review_notes
A010199199,衛署藥製字第010199號,ERYTHROMYCIN ESTOLATE 25 MG/ML,ERYTHROMYCIN (ESTOLATE),0.5,pending,NHI ingredients: ERYTHROMYCIN ESTOLATE 25 MG/ML; TFDA ingredients: ERYTHROMYCIN (ESTOLATE)
A0101991CN,衛署藥製字第010199號,ERYTHROMYCIN ESTOLATE 25 MG/ML,ERYTHROMYCIN (ESTOLATE),0.5,pending,NHI ingredients: ERYTHROMYCIN ESTOLATE 25 MG/ML; TFDA ingredients: ERYTHROMYCIN (ESTOLATE)
A0101991CP,衛署藥製字第010199號,ERYTHROMYCIN ESTOLATE 25 MG/ML,ERYTHROMYCIN (ESTOLATE),0.5,pending,NHI ingredients: ERYTHROMYCIN ESTOLATE 25 MG/ML; TFDA ingredients: ERYTHROMYCIN (ESTOLATE)
A010218100,衛署藥製字第010218號,AMOXYCILLIN (TRIHYDRATE) 250 MG,AMOXICILLIN (TRIHYDRATE),0,pending,NHI ingredients: AMOXYCILLIN (TRIHYDRATE) 250 MG; TFDA ingredients: AMOXICILLIN (TRIHYDRATE)
A010221321,衛署藥製字第010221號,TRIAMCINOLONE ACETONIDE 1 MG/GM,TRIAMCINOLONE ACETONIDE ;; NEOMYCIN (SULFATE),0.3333333333333333333333333333,pending,NHI ingredients: TRIAMCINOLONE ACETONIDE 1 MG/GM; TFDA ingredients: TRIAMCINOLONE ACETONIDE ;; NEOMYCIN (SULFATE)
A010221329,衛署藥製字第010221號,TRIAMCINOLONE ACETONIDE 1 MG/GM,TRIAMCINOLONE ACETONIDE ;; NEOMYCIN (SULFATE),0.3333333333333333333333333333,pending,NHI ingredients: TRIAMCINOLONE ACETONIDE 1 MG/GM; TFDA ingredients: TRIAMCINOLONE ACETONIDE ;; NEOMYCIN (SULFATE)
A010249100,衛署藥製字第010249號,PIPERILATE(=PIPETHANATE) HCL (=PENSANTE) 3 MG,PIPERILATE HCL (PIPETHANATE HYDROCHLORIDE),0,pending,NHI ingredients: PIPERILATE(=PIPETHANATE) HCL (=PENSANTE) 3 MG; TFDA ingredients: PIPERILATE HCL (PIPETHANATE HYDROCHLORIDE)
A0102491G0,衛署藥製字第010249號,PIPERILATE(=PIPETHANATE) HCL (=PENSANTE) 3 MG,PIPERILATE HCL (PIPETHANATE HYDROCHLORIDE),0,pending,NHI ingredients: PIPERILATE(=PIPETHANATE) HCL (=PENSANTE) 3 MG; TFDA ingredients: PIPERILATE HCL (PIPETHANATE HYDROCHLORIDE)
A010295212,衛署藥製字第010295號,GENTAMICIN (SULFATE) 40 MG/ML,GENTAMICIN (AS SULFATE),0.3333333333333333333333333333,pending,NHI ingredients: GENTAMICIN (SULFATE) 40 MG/ML; TFDA ingredients: GENTAMICIN (AS SULFATE)
A010295238,衛署藥製字第010295號,GENTAMICIN (SULFATE) 40 MG/ML,GENTAMICIN (AS SULFATE),0.3333333333333333333333333333,pending,NHI ingredients: GENTAMICIN (SULFATE) 40 MG/ML; TFDA ingredients: GENTAMICIN (AS SULFATE)
A010295299,衛署藥製字第010295號,GENTAMICIN (SULFATE) 40 MG/ML,GENTAMICIN (AS SULFATE),0.3333333333333333333333333333,pending,NHI ingredients: GENTAMICIN (SULFATE) 40 MG/ML; TFDA ingredients: GENTAMICIN (AS SULFATE)
A010302100,衛署藥製字第010302號,METOCLOPRAMIDE (2HCL MONOHYDRATE) 7.67 MG,METOCLOPRAMIDE HCL MONOHYDRATE,0,pending,NHI ingredients: METOCLOPRAMIDE (2HCL MONOHYDRATE) 7.67 MG; TFDA ingredients: METOCLOPRAMIDE HCL MONOHYDRATE
A010350100,衛署藥製字第010350號,PIPERILATE(=PIPETHANATE) HCL (=PENSANTE) 3 MG,PIPERILATE HCL (PIPETHANATE HYDROCHLORIDE),0,pending,NHI ingredients: PIPERILATE(=PIPETHANATE) HCL (=PENSANTE) 3 MG; TFDA ingredients: PIPERILATE HCL (PIPETHANATE HYDROCHLORIDE)
A010358100,衛署藥製字第010358號,DILTIAZEM (HCL) 30 MG,DILTIAZEM HYDROCHLORIDE,0,pending,NHI ingredients: DILTIAZEM (HCL) 30 MG; TFDA ingredients: DILTIAZEM HYDROCHLORIDE
A0103581G0,衛署藥製字第010358號,DILTIAZEM (HCL) 30 MG,DILTIAZEM HYDROCHLORIDE,0,pending,NHI ingredients: DILTIAZEM (HCL) 30 MG; TFDA ingredients: DILTIAZEM HYDROCHLORIDE
A010365100,衛署藥製字第010365號,AMOXYCILLIN (TRIHYDRATE) 250 MG,AMOXICILLIN (TRIHYDRATE),0,pending,NHI ingredients: AMOXYCILLIN (TRIHYDRATE) 250 MG; TFDA ingredients: AMOXICILLIN (TRIHYDRATE)
A010422212,衛署藥製字第010422號,THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 50 MG/ML,THIAMINE HYDROCHLORIDE,0,pending,NHI ingredients: THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 50 MG/ML; TFDA ingredients: THIAMINE HYDROCHLORIDE
A010446100,衛署藥製字第010446號,GUAIAZULENE SODIUM SULFONATE 2 MG,"SODIUM 1,4-DIMETHYL-7-ISOPROPYLAZULENE-3-SULFONATE",0,pending,"NHI ingredients: GUAIAZULENE SODIUM SULFONATE 2 MG; TFDA ingredients: SODIUM 1,4-DIMETHYL-7-ISOPROPYLAZULENE-3-SULFONATE"
A0104461G0,衛署藥製字第010446號,GUAIAZULENE SODIUM SULFONATE 2 MG,"SODIUM 1,4-DIMETHYL-7-ISOPROPYLAZULENE-3-SULFONATE",0,pending,"NHI ingredients: GUAIAZULENE SODIUM SULFONATE 2 MG; TFDA ingredients: SODIUM 1,4-DIMETHYL-7-ISOPROPYLAZULENE-3-SULFONATE"
